x_ngram,count
x22_x6_x7,1346
x31_x32_x10,1339
x7_x7_x30,1332
x32_x10_x10,1324
x16_x31_x32,1307
x7_x16_x176,1276
x21_x22_x6,1252
x25_x7_x7,1239
x11_x21_x22,1197
x5_x1_x2,1197
x10_x11_x21,1194
x30_x62_x167,1178
x6_x8_x5,1173
x7_x30_x62,1167
x186_x32_x10,1155
x121_x18_x7,1151
x11_x1_x29,1150
x16_x176_x163,1148
x62_x167_x10,1143
x7_x30_x207,1141
x2_x3_x6,1127
x16_x176_x186,1110
x176_x186_x32,1108
x1_x29_x11,1105
x9_x11_x42,1072
x96_x18_x7,1069
x163_x186_x32,1065
x1_x29_x10,1052
x8_x9_x105,1047
x16_x17_x170,1043
x43_x37_x8,1042
x4_x9_x10,1031
x18_x7_x8,1030
x163_x121_x18,1022
x170_x9_x10,1021
x239_x43_x37,1021
x13_x16_x31,1016
x3_x4_x9,1012
x12_x13_x16,1009
x163_x163_x163,1006
x7_x7_x19,1005
x7_x8_x95,1005
x7_x30_x123,1004
x29_x10_x10,1000
x8_x83_x59,996
x176_x163_x163,995
x105_x96_x18,992
x16_x176_x158,992
x203_x167_x10,991
x29_x11_x3,982
x182_x167_x10,981
x65_x65_x22,978
x37_x8_x9,975
x125_x13_x7,974
x4_x9_x11,974
x87_x60_x6,974
x16_x176_x121,973
x60_x6_x8,972
x1_x2_x21,969
x32_x10_x55,968
x176_x163_x186,961
x9_x105_x146,960
x17_x170_x9,959
x7_x84_x87,957
x124_x32_x10,947
x163_x163_x186,936
x4_x5_x1,933
x29_x10_x11,928
x3_x6_x16,921
x83_x59_x60,919
x30_x207_x199,917
x5_x21_x22,915
x163_x163_x121,911
x8_x5_x1,908
x19_x20_x6,906
x32_x11_x3,902
x32_x12_x13,901
x11_x3_x66,900
x42_x43_x49,899
x6_x7_x30,897
x176_x121_x18,894
x163_x163_x158,892
x7_x8_x137,892
x158_x203_x167,884
x17_x18_x16,882
x146_x32_x10,880
x199_x182_x167,879
x60_x4_x5,876
x9_x55_x59,876
x22_x4_x5,873
x84_x87_x60,872
x10_x11_x33,865
x74_x163_x163,862
x253_x6_x7,861
x8_x14_x183,858
x95_x96_x18,858
x8_x95_x96,855
x158_x73_x74,854
x7_x7_x247,854
x21_x22_x4,850
x131_x18_x7,849
x7_x19_x20,843
x142_x25_x7,839
x73_x74_x163,839
x21_x239_x43,836
x105_x146_x32,835
x101_x9_x10,832
x25_x7_x8,832
x199_x199_x199,830
x64_x20_x6,830
x176_x163_x121,826
x18_x7_x16,825
x32_x10_x11,824
x227_x43_x37,821
x170_x14_x13,815
x258_x7_x7,815
x43_x49_x5,814
x9_x10_x35,810
x6_x19_x20,806
x2_x21_x22,803
x17_x170_x14,800
x31_x32_x11,799
x8_x5_x21,795
x95_x146_x32,795
x10_x105_x96,792
x4_x9_x12,792
x63_x13_x7,785
x30_x207_x142,783
x31_x32_x12,777
x114_x25_x7,773
x18_x16_x176,773
x186_x32_x11,770
x59_x97_x22,770
x167_x10_x11,769
x170_x9_x12,769
x11_x3_x64,766
x10_x10_x105,765
x96_x170_x9,765
x30_x207_x182,763
x9_x10_x105,763
x170_x14_x15,758
x34_x18_x7,758
x6_x16_x176,757
x9_x105_x96,757
x167_x10_x55,755
x7_x247_x257,755
x13_x7_x30,750
x8_x95_x146,750
x49_x14_x13,747
x24_x101_x9,746
x95_x96_x170,746
x30_x24_x101,744
x3_x64_x20,740
x33_x250_x192,738
x66_x31_x192,737
x207_x142_x25,736
x3_x66_x31,733
x13_x16_x17,731
x69_x22_x6,730
x73_x124_x32,729
x83_x59_x88,727
x192_x1_x2,726
x32_x55_x59,726
x14_x15_x95,724
