x_ngram,count
x183_x52_x73,156
x73_x124_x125,154
x407_x116_x141,138
x141_x7_x8,134
x116_x141_x7,133
x7_x407_x116,132
x141_x8_x14,119
x7_x7_x407,115
x132_x145_x146,113
x123_x124_x125,106
x124_x125_x183,105
x182_x63_x183,105
x13_x30_x123,103
x186_x390_x132,103
x63_x183_x52,103
x145_x146_x147,102
x176_x186_x390,101
x116_x117_x14,100
x390_x132_x145,99
x117_x14_x13,98
x15_x137_x138,97
x13_x407_x116,96
x14_x13_x407,96
x13_x7_x407,94
x116_x141_x8,93
x9_x10_x355,93
x112_x15_x14,92
x118_x470_x141,92
x117_x14_x15,91
x112_x13_x7,90
x15_x14_x134,90
x407_x116_x117,88
x134_x116_x141,85
x141_x8_x9,85
x144_x112_x13,84
x23_x123_x124,84
x116_x117_x9,83
x125_x183_x176,82
x134_x144_x112,82
x144_x112_x15,82
x146_x147_x148,82
x12_x13_x407,80
x14_x134_x116,80
x9_x12_x134,80
x8_x9_x355,78
x167_x12_x183,77
x124_x125_x15,76
x14_x15_x118,76
x15_x118_x132,75
x125_x13_x30,74
x12_x134_x116,74
x179_x180_x249,73
x132_x112_x13,72
x14_x134_x144,72
x23_x207_x182,72
x32_x12_x183,72
x12_x15_x118,71
x15_x118_x470,71
x117_x9_x10,70
x13_x407_x144,70
x407_x144_x112,70
x118_x132_x112,69
x23_x123_x131,69
x133_x12_x13,68
x63_x13_x16,68
x116_x141_x30,67
x117_x9_x12,67
x62_x63_x183,67
x470_x141_x8,66
x8_x14_x134,66
x112_x13_x8,65
x125_x183_x17,65
x132_x112_x15,65
x144_x133_x12,65
x183_x52_x53,65
x8_x118_x470,65
x13_x8_x118,64
x470_x117_x14,64
x118_x470_x117,63
x133_x12_x15,63
x134_x116_x117,63
x146_x147_x36,63
x147_x148_x539,63
x9_x355_x470,63
x63_x13_x30,61
x10_x12_x134,60
x134_x144_x133,60
x167_x12_x23,60
x183_x52_x203,60
x62_x63_x23,60
x7_x8_x118,60
x167_x26_x114,59
x18_x407_x116,59
x15_x9_x355,57
x407_x116_x374,57
x112_x15_x9,56
x148_x539_x141,56
x355_x397_x348,56
x7_x407_x144,56
x101_x137_x138,55
x10_x355_x397,55
x116_x374_x207,55
x141_x16_x31,55
x141_x30_x62,55
x141_x7_x30,55
x31_x32_x26,55
x164_x180_x249,54
x23_x62_x139,54
x24_x101_x137,54
x8_x118_x132,54
x348_x433_x67,53
x374_x207_x182,53
x397_x348_x433,53
x63_x183_x31,53
x132_x133_x12,52
x15_x179_x180,52
x167_x105_x96,52
x62_x167_x26,52
x63_x23_x62,52
x113_x104_x136,51
x28_x4_x14,51
x324_x180_x249,51
x390_x132_x112,51
x433_x67_x28,51
x63_x183_x17,51
x67_x28_x6,51
x32_x26_x114,50
x96_x18_x30,50
x114_x25_x30,49
x125_x23_x62,49
x12_x23_x123,49
x431_x18_x7,49
x432_x116_x141,49
x138_x164_x180,48
x407_x144_x133,48
x539_x141_x7,48
