x_ngram,file_count
x14_x50_x46,384
x67_x41_x65,17
x8_x9_x35,1854
x10_x11_x42,1778
x30_x24_x25,1052
x36_x37_x16,1424
x24_x25_x8,327
x7_x45_x46,1172
x45_x46_x51,322
x14_x15_x5,1399
x65_x68_x78,501
x62_x63_x15,1261
x52_x53_x25,873
x76_x65_x70,20
x7_x8_x14,2434
x10_x35_x36,1875
x21_x22_x6,1277
x9_x12_x13,2421
x10_x10_x12,2230
x9_x35_x36,1854
x2_x3_x6,1290
x20_x6_x7,1573
x16_x52_x53,737
x65_x70_x39,64
x22_x66_x52,52
x9_x10_x12,2077
x17_x48_x20,1449
x10_x10_x10,2394
x8_x9_x12,2009
x14_x15_x47,245
x8_x14_x15,2410
x13_x8_x9,2242
x9_x11_x42,1113
x10_x10_x55,2392
x13_x7_x8,1957
x37_x45_x46,416
x46_x37_x7,1408
x70_x39_x40,48
x41_x65_x65,138
x35_x36_x37,1878
x37_x7_x8,1864
x8_x9_x10,2453
x4_x5_x3,2452
x65_x65_x65,1115
x18_x8_x9,2086
x65_x65_x68,524
x15_x9_x12,2299
x2_x3_x64,884
x7_x7_x30,1391
x14_x13_x8,2411
x76_x70_x81,14
x8_x9_x11,2463
x3_x6_x8,2429
x76_x65_x65,522
x2_x42_x43,1721
x13_x8_x14,2328
x37_x8_x47,816
x5_x42_x43,2162
x42_x43_x37,2322
x9_x11_x3,2444
x37_x8_x9,987
x10_x12_x15,2068
x9_x11_x21,1730
x65_x65_x70,123
x44_x20_x6,1437
x16_x17_x48,1452
x25_x7_x7,1101
x30_x24_x54,206
x22_x6_x7,1713
x10_x55_x59,2394
x71_x72_x73,9
x11_x3_x6,2445
x25_x8_x9,557
x10_x12_x13,2228
x45_x46_x49,122
x11_x42_x43,2011
x36_x49_x14,340
x37_x16_x17,1429
x65_x22_x66,323
x65_x58_x2,1011
x42_x43_x44,818
x7_x16_x17,2176
x46_x51_x46,441
x34_x48_x69,17
x15_x5_x3,1657
x24_x25_x7,430
x6_x45_x46,1440
x17_x18_x8,1997
x9_x11_x1,2383
x39_x40_x41,53
x10_x11_x1,1746
x49_x14_x50,305
x15_x5_x42,1835
x74_x75_x76,23
x15_x14_x15,1136
x64_x69_x65,621
x51_x46_x37,641
x53_x25_x7,847
x9_x10_x10,2437
x72_x73_x74,400
x54_x17_x18,172
x7_x8_x9,2453
x41_x65_x68,16
x58_x2_x3,1097
x69_x65_x70,25
x68_x78_x76,499
x10_x10_x11,2249
x5_x21_x65,1589
x7_x7_x45,1064
x1_x2_x1,1802
x15_x47_x36,276
x20_x4_x5,637
x70_x71_x77,10
x15_x9_x10,2402
x12_x13_x8,2158
x36_x37_x7,1906
x24_x54_x17,203
x4_x5_x21,1479
x59_x60_x61,816
x48_x20_x6,1447
x3_x64_x20,918
x65_x65_x58,760
x80_x21_x65,54
x2_x21_x65,958
x2_x3_x4,2345
x6_x7_x7,2469
x3_x4_x5,2452
x5_x3_x4,2419
x47_x36_x37,1693
x7_x16_x52,1699
x8_x47_x36,1620
x52_x67_x41,3
x3_x6_x7,2372
x9_x10_x11,2040
x7_x8_x5,1578
x37_x8_x14,1428
x11_x21_x22,1333
