x_ngram,file_count
x8_x14_x15,2857
x13_x7_x8,2871
x15_x5_x1,1309
x13_x8_x14,2881
x11_x3_x6,2901
x7_x30_x24,1011
x7_x7_x7,2898
x12_x13_x7,1379
x10_x11_x3,1082
x8_x5_x3,1664
x14_x15_x5,2451
x136_x13_x8,973
x13_x8_x9,2819
x7_x8_x9,2849
x1_x136_x13,1180
x13_x8_x5,1830
x1_x29_x12,932
x8_x9_x11,2484
x6_x7_x7,2895
x8_x14_x13,2903
x14_x13_x7,2789
x14_x15_x14,2779
x8_x9_x10,1363
x136_x13_x7,1253
x6_x8_x9,1359
x14_x15_x9,2866
x13_x7_x7,2707
x6_x7_x8,2844
x3_x6_x8,2794
x9_x11_x3,2901
x7_x7_x8,2934
x5_x3_x6,2303
x15_x14_x13,2593
x15_x5_x3,2253
x3_x6_x7,2904
x7_x8_x14,2904
x14_x13_x8,2822
x10_x12_x13,786
x12_x13_x8,1181
x9_x10_x11,1410
