x_ngram,file_count
x28_x429_x116,19
x28_x4_x9,24
x258_x7_x7,21
x10_x12_x183,104
x30_x24_x25,64
x24_x25_x8,95
x118_x397_x348,27
x14_x15_x5,61
x138_x167_x10,66
x429_x116_x141,16
x101_x5_x38,2
x411_x110_x246,18
x57_x7_x30,3
x20_x6_x7,53
x5_x38_x100,5
x123_x124_x125,106
x136_x134_x449,3
x95_x169_x302,3
x9_x355_x397,35
x512_x138_x167,2
x10_x10_x10,79
x170_x14_x113,5
x23_x123_x124,84
x7_x407_x449,17
x16_x17_x122,22
x397_x348_x433,53
x113_x104_x136,51
x431_x18_x30,8
x63_x113_x20,7
x257_x258_x7,14
x4_x14_x13,86
x15_x5_x1,59
x8_x9_x11,75
x122_x62_x63,39
x3_x6_x8,71
x101_x5_x3,6
x12_x183_x52,77
x20_x6_x16,22
x134_x449_x348,26
x9_x11_x3,80
x121_x170_x14,33
x167_x10_x10,61
x7_x19_x20,33
x17_x514_x515,1
x34_x18_x7,34
x14_x89_x299,5
x11_x3_x6,84
x247_x257_x258,9
x169_x302_x34,6
x246_x141_x8,11
x361_x136_x15,26
x355_x397_x348,56
x1_x136_x15,66
x67_x28_x4,39
x176_x121_x170,34
x104_x136_x134,5
x30_x24_x101,108
x407_x449_x348,21
x15_x9_x105,85
x116_x141_x8,93
x28_x4_x14,51
x302_x34_x191,3
x299_x512_x138,1
x183_x176_x121,36
x4_x9_x10,22
x113_x20_x6,54
x63_x23_x411,3
x8_x9_x355,78
x7_x247_x257,5
x33_x34_x18,33
x348_x433_x67,53
x137_x140_x40,1
x2_x1_x136,5
x6_x7_x16,20
x23_x411_x28,29
x62_x63_x113,6
x40_x28_x61,1
x4_x14_x23,17
x28_x61_x62,11
x14_x23_x24,86
x257_x258_x8,10
x13_x7_x407,94
x515_x516_x257,13
x28_x4_x95,7
x136_x15_x83,3
x170_x14_x183,55
x141_x7_x30,55
x116_x141_x30,67
x141_x8_x5,4
x5_x1_x136,55
x67_x28_x429,19
x516_x257_x258,10
x136_x15_x14,68
x52_x67_x361,4
x348_x431_x18,22
x67_x361_x2,7
x105_x96_x170,65
x361_x2_x1,4
x5_x33_x34,21
x13_x7_x19,25
x246_x141_x7,20
x24_x101_x5,7
x67_x361_x136,27
x514_x515_x516,1
x9_x105_x96,91
x167_x10_x355,45
x397_x348_x431,27
x89_x299_x512,1
x14_x113_x20,42
x38_x100_x101,3
x62_x63_x23,60
x258_x8_x14,14
x24_x101_x9,108
x7_x30_x24,101
x9_x12_x23,106
x85_x57_x7,16
x140_x40_x28,1
x89_x85_x57,17
x15_x14_x113,50
x6_x7_x247,2
x101_x9_x12,99
x124_x125_x15,76
x19_x20_x4,26
x14_x89_x85,11
x12_x23_x62,115
x12_x183_x176,20
x6_x16_x17,11
x4_x9_x12,70
x4_x95_x169,1
x411_x28_x4,24
x3_x429_x116,12
x5_x3_x429,12
x14_x23_x123,63
x191_x17_x514,1
x8_x5_x33,9
x141_x30_x24,26
x183_x52_x67,9
x15_x137_x140,31
x17_x122_x62,23
x28_x6_x8,34
x34_x191_x17,8
x12_x15_x118,71
x25_x8_x14,103
x15_x14_x89,8
x449_x348_x433,37
x433_x67_x361,36
x110_x246_x141,15
x15_x118_x397,14
x10_x355_x397,55
x23_x24_x101,94
x433_x67_x110,16
x67_x28_x6,51
x433_x67_x28,51
x18_x30_x411,6
x61_x62_x63,16
x14_x113_x104,25
x67_x110_x246,17
x100_x101_x5,1
x20_x4_x14,40
x30_x411_x110,10
x6_x8_x14,65
x25_x7_x7,107
x137_x114_x101,86
x13_x16_x176,83
x114_x101_x9,66
x191_x17_x170,27
x12_x15_x137,79
x176_x186_x125,63
x16_x17_x191,34
x8_x137_x114,104
x12_x13_x16,107
x16_x176_x195,1
x114_x25_x7,105
x125_x15_x9,116
x17_x191_x17,34
x186_x125_x15,25
x137_x114_x25,85
x101_x9_x10,88
x15_x137_x114,98
x269_x197_x353,1
x14_x134_x399,15
x114_x54_x286,1
x138_x164_x313,20
x423_x4_x118,1
x356_x269_x197,1
x348_x400_x161,3
x23_x62_x139,54
x4_x14_x183,23
x167_x12_x23,60
x249_x23_x62,45
x80_x3_x6,13
x114_x101_x14,97
x56_x82_x137,5
x8_x14_x134,66
x8_x118_x356,4
x62_x164_x313,4
x249_x23_x123,40
x119_x120_x163,1
x138_x167_x12,88
x400_x161_x138,39
x62_x164_x180,25
x369_x348_x400,1
x6_x7_x8,84
x179_x180_x249,73
x118_x356_x269,3
x170_x118_x470,33
x473_x470_x117,8
x138_x63_x13,84
x197_x353_x354,2
x26_x138_x63,38
x82_x137_x138,11
x63_x13_x30,61
x138_x63_x15,67
x7_x407_x399,30
x146_x125_x15,77
x399_x400_x161,36
x324_x503_x423,3
x14_x23_x411,12
x62_x167_x26,52
x131_x18_x7,107
x26_x114_x101,72
x62_x139_x114,36
x113_x104_x315,8
x161_x138_x63,28
x25_x8_x137,32
x249_x13_x7,36
x30_x123_x131,73
x24_x101_x137,54
x156_x249_x23,4
x23_x123_x131,69
x164_x313_x320,10
x23_x24_x25,100
x146_x125_x23,14
x10_x324_x503,3
x8_x179_x180,54
x207_x182_x167,94
x134_x399_x400,17
x18_x7_x407,28
x186_x161_x138,3
x313_x258_x7,17
x24_x25_x7,116
x62_x473_x470,20
x62_x139_x138,44
x150_x376_x249,18
x125_x23_x123,16
x9_x11_x1,34
x161_x138_x164,39
x286_x156_x249,12
x9_x10_x324,13
x470_x141_x7,76
x139_x138_x164,43
x470_x117_x9,38
x30_x123_x124,117
x167_x12_x113,22
x376_x249_x23,13
x13_x8_x137,115
x7_x8_x118,60
x139_x138_x167,12
x315_x159_x156,1
x170_x9_x12,95
x123_x131_x18,79
x13_x30_x123,103
x258_x7_x30,3
x6_x7_x7,81
x118_x119_x120,1
x62_x164_x503,1
x83_x56_x82,21
x182_x167_x12,87
x3_x6_x7,82
x180_x249_x13,40
x54_x286_x156,1
x117_x9_x12,67
x12_x15_x83,41
x180_x249_x23,47
x507_x369_x348,1
x15_x9_x11,67
x17_x170_x118,26
x12_x15_x179,23
x9_x26_x138,40
x503_x423_x4,3
x113_x507_x369,1
x164_x180_x249,54
x101_x14_x13,100
x136_x15_x9,40
x24_x101_x14,118
x249_x23_x207,24
x112_x15_x14,92
x353_x354_x112,6
x313_x320_x95,3
x320_x95_x146,3
x118_x470_x141,92
x159_x156_x249,9
x23_x62_x164,20
x4_x14_x15,80
x8_x95_x146,111
x423_x4_x14,3
x11_x1_x136,68
x139_x114_x101,15
x23_x62_x80,31
x23_x207_x182,72
x63_x23_x62,52
x139_x114_x54,4
x30_x62_x164,9
x62_x80_x3,23
x163_x186_x161,1
x137_x138_x164,47
x23_x62_x473,15
x15_x9_x26,87
x249_x23_x411,21
x407_x399_x400,29
x131_x18_x8,57
x5_x3_x6,76
x164_x313_x258,18
x12_x113_x507,13
x125_x183_x17,65
x249_x23_x24,45
x23_x150_x376,13
x15_x179_x180,52
x123_x131_x170,80
x354_x112_x15,10
x13_x8_x179,29
x124_x125_x183,105
x15_x83_x56,30
x17_x170_x9,101
x104_x315_x159,1
x101_x137_x138,55
x4_x118_x119,3
x131_x170_x14,79
x101_x14_x23,22
x18_x8_x137,31
x249_x23_x150,10
x164_x503_x423,1
x167_x26_x114,59
x120_x163_x186,1
x138_x164_x180,48
x95_x146_x125,82
x407_x399_x433,8
x250_x32_x12,13
x106_x168_x163,1
x163_x121_x170,4
x407_x116_x117,88
x136_x183_x31,15
x168_x163_x121,1
x371_x341_x449,1
x8_x14_x113,26
x167_x105_x146,25
x17_x48_x20,7
x116_x117_x14,100
x53_x103_x20,4
x121_x170_x137,8
x137_x138_x167,88
x119_x431_x170,7
x31_x390_x119,5
x170_x14_x23,38
x116_x382_x116,25
x103_x20_x6,11
x67_x99_x250,12
x433_x67_x99,25
x489_x371_x341,1
x7_x7_x407,115
x153_x96_x170,33
x431_x170_x14,24
x170_x14_x89,1
x20_x61_x62,11
x246_x141_x19,2
x40_x28_x6,2
x141_x19_x20,5
x113_x106_x168,1
x6_x16_x31,45
x13_x407_x489,3
x16_x31_x153,20
x146_x192_x1,3
x98_x138_x63,2
x23_x411_x110,10
x348_x433_x53,29
x400_x125_x23,5
x15_x5_x3,85
x492_x116_x117,35
x15_x137_x138,97
x13_x30_x411,15
x117_x9_x10,70
x8_x14_x271,12
x348_x433_x181,3
x19_x20_x6,30
x67_x361_x315,4
x170_x137_x138,42
x315_x169_x94,1
x14_x271_x257,6
x116_x141_x16,41
x141_x16_x31,55
x28_x6_x7,54
x390_x119_x431,9
x85_x492_x116,34
x361_x29_x12,11
x30_x411_x28,20
