x_ngram,file_count
x17_x170_x14,158
x95_x96_x170,130
x13_x16_x31,182
x62_x63_x15,177
x96_x170_x14,123
x170_x14_x13,165
x96_x18_x7,126
x63_x13_x7,184
x16_x17_x170,149
x9_x12_x183,136
x7_x8_x137,167
x17_x18_x8,131
x62_x167_x10,140
x7_x8_x95,120
x16_x31_x32,130
x16_x31_x125,242
x8_x14_x183,189
x7_x30_x207,167
x25_x7_x8,119
x16_x52_x73,119
x14_x183_x17,154
x125_x13_x7,239
x15_x14_x15,272
x12_x183_x31,146
x15_x9_x12,218
x30_x62_x167,132
x13_x16_x17,135
x15_x95_x96,136
x7_x7_x30,221
x14_x15_x95,119
x95_x96_x18,121
x183_x17_x18,163
x18_x8_x14,153
x32_x12_x15,120
x30_x207_x182,173
x31_x32_x12,149
x170_x14_x15,155
x7_x30_x62,189
x18_x7_x8,131
x13_x7_x30,176
