x_ngram,1_support,2_support,3_support,4_support,5_support,6_support,7_support,8_support,9_support
x10_x10_x11,0.897469,0.907587,0.095513,0.105263,0.261905,0.326232,0.120603,0.153909,0.541955
x10_x11_x1,0.764439,0.704600,0.145139,0.109474,0.071429,0.274301,0.012563,0.077362,0.413623
x10_x11_x3,0.916937,0.813559,0.367777,0.147368,0.404762,0.323569,0.500000,0.177524,0.562685
x11_x3_x4,0.860480,0.693301,0.210741,0.168421,0.071429,0.308921,0.012563,0.145765,0.502468
x11_x3_x6,0.934458,0.986683,0.986064,0.176842,0.523810,0.316911,0.665829,0.191368,0.580454
x12_x13_x7,0.918235,0.963680,0.468729,0.416842,0.666667,0.258322,0.904523,0.211726,0.965449
x13_x7_x7,0.956522,0.985876,0.920122,0.774737,0.666667,0.271638,0.907035,0.262215,0.973346
x13_x7_x8,0.818300,0.789750,0.975867,0.566316,0.571429,0.335553,0.484925,0.185668,0.939783
x14_x13_x7,0.890980,0.804681,0.947995,0.755789,0.642857,0.378162,0.834171,0.253257,0.965449
x20_x6_x7,0.656067,0.634786,0.161115,0.111579,0.214286,0.307590,0.015075,0.140065,0.315893
x3_x4_x5,0.852044,0.989508,0.026173,0.010526,0.095238,0.259654,0.010050,0.886808,0.307996
x3_x6_x7,0.942894,0.957224,0.987084,0.172632,0.500000,0.315579,0.839196,0.908795,0.582428
x3_x6_x8,0.874108,0.980226,0.949694,0.149474,0.142857,0.284953,0.208543,0.206026,0.518263
x4_x5_x3,0.837119,0.989508,0.026173,0.014737,0.095238,0.275632,0.010050,0.875407,0.286278
x5_x3_x6,0.905256,0.958838,0.782801,0.160000,0.119048,0.300932,0.824121,0.893322,0.547878
x64_x20_x6,0.538611,0.259080,0.123046,0.012632,0.047619,0.250333,0.012563,0.074919,0.037512
x6_x7_x7,0.954575,0.996368,0.984024,0.170526,0.476190,0.334221,0.834171,0.920195,0.882527
x7_x7_x19,0.652174,0.259887,0.018355,0.054737,0.214286,0.315579,0.010050,0.112378,0.217177
x7_x7_x7,0.979883,0.996772,0.985044,0.728421,0.666667,0.383489,0.849246,0.906352,0.998026
x7_x7_x8,0.981830,0.990718,0.997281,0.713684,0.666667,0.383489,0.969849,0.894951,0.998026
x7_x8_x14,0.946139,0.982244,0.987084,0.757895,0.666667,0.379494,0.831658,0.827362,0.971372
x7_x8_x9,0.974692,0.989911,0.968389,0.423158,0.666667,0.378162,0.713568,0.253257,0.998026
x8_x14_x13,0.957171,0.958838,0.986744,0.709474,0.642857,0.378162,0.788945,0.508958,0.971372
x8_x5_x3,0.870214,0.700565,0.565602,0.090526,0.095238,0.299601,0.108040,0.862378,0.461994
x8_x9_x10,0.966256,0.989911,0.463290,0.362105,0.690476,0.327563,0.439698,0.254072,0.983218
x8_x9_x11,0.932511,0.993947,0.844324,0.157895,0.190476,0.282290,0.273869,0.184853,0.562685
x8_x9_x12,0.835821,0.810734,0.117267,0.442105,0.476190,0.250333,0.829146,0.186482,0.956565
x9_x10_x10,0.949384,0.983454,0.095513,0.391579,0.619048,0.327563,0.145729,0.247557,0.910168
x9_x10_x11,0.898767,0.823245,0.479266,0.145263,0.380952,0.295606,0.419598,0.160423,0.536032
x9_x11_x3,0.911097,0.986279,0.986064,0.168421,0.166667,0.278296,0.180905,0.172638,0.561698
x9_x12_x13,0.818300,0.976998,0.118627,0.418947,0.476190,0.250333,0.829146,0.178339,0.952616
