x_ngram,file_count
x7_x8_x14,984
x21_x22_x6,457
x9_x12_x13,965
x10_x10_x12,899
x20_x6_x7,320
x9_x10_x12,902
x14_x15_x14,749
x10_x10_x10,905
x8_x9_x12,969
x8_x14_x15,854
x13_x8_x9,908
x6_x7_x8,659
x13_x7_x8,952
x3_x4_x14,474
x4_x5_x3,290
x8_x9_x10,996
x12_x15_x14,800
x4_x14_x13,568
x15_x9_x12,660
x14_x13_x8,893
x8_x9_x11,570
x3_x6_x8,525
x13_x8_x14,796
x9_x11_x3,569
x10_x12_x15,791
x25_x7_x7,263
x22_x6_x7,475
x11_x3_x6,588
x10_x12_x13,930
x7_x16_x17,337
x15_x5_x3,429
x12_x15_x9,713
x4_x9_x10,395
x11_x1_x29,383
x10_x11_x1,419
x19_x20_x6,263
x15_x14_x15,481
x9_x10_x10,922
x1_x29_x10,360
x7_x8_x9,1011
x10_x10_x11,549
x15_x9_x10,740
x12_x13_x8,897
x36_x37_x7,312
x32_x10_x10,361
x6_x7_x7,894
x3_x4_x5,312
x5_x3_x4,300
x29_x10_x10,351
x3_x6_x7,590
x9_x10_x11,543
x7_x8_x5,437
x11_x21_x22,430
x6_x8_x9,551
x37_x7_x7,743
x7_x7_x8,1011
x7_x7_x7,1011
x16_x31_x32,356
x3_x4_x9,328
x7_x16_x31,385
x4_x9_x12,334
x31_x32_x10,347
x8_x14_x13,984
x5_x3_x6,555
x14_x15_x9,760
x12_x15_x5,394
x12_x13_x7,978
x10_x11_x3,570
x16_x17_x18,323
x11_x3_x4,509
x7_x7_x16,461
x9_x12_x15,768
x17_x18_x7,300
x8_x5_x3,468
x1_x2_x3,383
x10_x11_x21,413
x13_x7_x7,986
x18_x7_x7,331
x15_x14_x13,872
x6_x8_x14,314
x14_x13_x7,978
x86_x87_x60,274
x87_x60_x4,279
x8_x83_x56,502
x56_x86_x85,295
x86_x85_x57,287
x10_x10_x55,605
x84_x87_x60,391
x9_x10_x55,641
x84_x85_x82,367
x56_x57_x7,701
x7_x84_x85,498
x82_x83_x56,297
x85_x82_x9,340
x7_x7_x84,505
x85_x86_x85,265
x9_x55_x56,585
x57_x7_x8,562
x83_x56_x82,307
x84_x85_x57,555
x60_x6_x7,632
x57_x8_x14,262
x85_x57_x7,576
x7_x8_x83,545
x56_x57_x8,418
x59_x60_x6,552
x83_x59_x60,325
x7_x84_x87,335
x57_x8_x9,371
x10_x55_x56,663
x57_x7_x7,763
x55_x56_x57,658
x83_x56_x57,504
x55_x56_x82,548
x87_x60_x6,391
x60_x6_x8,270
x60_x4_x9,382
x10_x55_x59,538
x56_x82_x9,439
x82_x9_x10,417
x8_x9_x55,534
x9_x55_x59,334
x55_x59_x60,579
x13_x84_x85,308
x59_x60_x4,389
x8_x83_x59,277
x56_x82_x14,334
x2_x3_x6,348
x82_x14_x13,370
x84_x85_x86,271
x9_x11_x1,291
