x_ngram,file_count
x10_x11_x33,865
x9_x11_x3,1404
x8_x83_x59,996
x7_x7_x8,1513
x8_x14_x13,1475
x10_x10_x11,1383
x9_x10_x10,1463
x7_x8_x5,1351
x11_x3_x6,1440
x5_x42_x43,1125
x29_x10_x10,1000
x7_x8_x14,1458
x96_x18_x7,1069
x43_x37_x7,1413
x42_x43_x37,1276
x8_x5_x42,975
x1_x29_x10,1052
x95_x96_x18,858
x37_x7_x7,1473
x63_x13_x7,785
x8_x9_x10,1489
x11_x1_x29,1150
x10_x11_x1,1178
x8_x9_x11,1437
x6_x7_x7,1471
x7_x7_x7,1510
x3_x6_x7,1453
x18_x7_x7,1461
x7_x8_x83,990
x7_x8_x9,1502
x13_x7_x7,1474
x10_x55_x59,1159
x36_x37_x7,1139
x2_x3_x6,1127
x163_x121_x18,1022
x7_x30_x62,1167
x95_x146_x32,795
x1_x2_x42,802
x59_x60_x4,860
x176_x163_x121,826
x62_x167_x10,1143
x10_x105_x96,792
x17_x170_x14,800
x105_x96_x18,992
x163_x163_x163,1006
x30_x207_x142,783
x8_x14_x183,858
x10_x12_x15,1202
x4_x14_x15,881
x10_x10_x35,929
x105_x146_x32,835
x42_x43_x49,899
x55_x59_x97,793
x30_x207_x199,917
x16_x31_x32,1307
x7_x7_x30,1332
x60_x6_x7,1213
x5_x21_x22,915
x170_x9_x10,1021
x10_x35_x36,963
x8_x9_x12,1288
x18_x7_x8,1030
x7_x7_x19,1005
x25_x7_x7,1239
x16_x176_x158,992
x9_x10_x12,1233
x163_x163_x186,936
x176_x121_x18,894
x18_x8_x9,1018
x146_x32_x10,880
x55_x59_x88,889
x6_x8_x14,1052
x22_x6_x8,1139
x2_x1_x2,968
x1_x2_x1,971
x13_x8_x5,869
x101_x9_x10,832
x14_x15_x9,1141
x7_x30_x24,1061
x6_x7_x30,897
x83_x59_x60,919
x10_x11_x21,1194
x12_x13_x7,1415
x7_x16_x31,1321
x4_x14_x13,1014
x125_x13_x7,974
x16_x176_x121,973
x12_x15_x9,1197
x16_x17_x18,1152
x142_x25_x7,839
x13_x16_x31,1016
x163_x186_x32,1065
x10_x10_x12,1399
x7_x16_x176,1276
x36_x37_x8,803
x182_x167_x10,981
x10_x11_x3,1413
x124_x32_x10,947
x10_x11_x42,1170
x11_x42_x43,1273
x25_x7_x8,832
x11_x1_x2,924
x37_x7_x8,1161
x21_x22_x6,1252
x12_x13_x8,1240
x32_x10_x10,1324
x8_x5_x21,795
x170_x14_x13,815
x32_x10_x11,824
x55_x56_x57,836
x37_x8_x9,975
x4_x9_x10,1031
x114_x25_x7,773
x7_x16_x17,1163
x4_x5_x3,1290
x31_x125_x13,936
x7_x19_x20,843
x31_x32_x12,777
x65_x22_x6,1130
x13_x8_x14,1171
x8_x9_x105,1047
x35_x36_x37,1059
x15_x9_x12,1100
x15_x9_x11,950
x8_x9_x55,933
x57_x7_x7,844
x55_x59_x60,1077
x59_x60_x6,1065
x13_x8_x9,1239
