x_ngram,1_support,2_support,3_support,4_support,5_support,6_support,7_support,8_support,9_support
x11_x3_x6,0.934458,0.986683,0.986064,0.176842,0.523810,0.316911,0.665829,0.191368,0.580454
x13_x7_x7,0.956522,0.985876,0.920122,0.774737,0.666667,0.271638,0.907035,0.262215,0.973346
x13_x7_x8,0.818300,0.789750,0.975867,0.566316,0.571429,0.335553,0.484925,0.185668,0.939783
x13_x8_x14,0.759896,0.939467,0.979266,0.614737,0.500000,0.170439,0.758794,0.157166,0.785785
x13_x8_x5,0.563920,0.333737,0.622026,0.088421,0.023810,0.083888,0.115578,0.364821,0.241856
x13_x8_x9,0.804023,0.904762,0.958192,0.357895,0.547619,0.138482,0.482412,0.180782,0.896347
x14_x13_x7,0.890980,0.804681,0.947995,0.755789,0.642857,0.378162,0.834171,0.253257,0.965449
x14_x13_x8,0.816353,0.972962,0.959211,0.602105,0.595238,0.179760,0.761307,0.447068,0.881540
x14_x15_x14,0.761194,0.500404,0.944596,0.656842,0.571429,0.166445,0.834171,0.164495,0.739388
x14_x15_x5,0.652823,0.564568,0.833107,0.128421,0.047619,0.122503,0.768844,0.732899,0.230997
x14_x15_x9,0.740428,0.964891,0.974167,0.503158,0.547619,0.186418,0.575377,0.151466,0.750247
x15_x14_x13,0.764439,0.618241,0.881373,0.646316,0.547619,0.170439,0.826633,0.167752,0.860809
x15_x14_x15,0.695652,0.458434,0.935758,0.572632,0.452381,0.154461,0.389447,0.134365,0.474827
x15_x5_x3,0.671642,0.668684,0.765806,0.178947,0.000000,0.099867,0.736181,0.543160,0.423495
x15_x9_x11,0.616483,0.585956,0.987084,0.141053,0.071429,0.106525,0.331658,0.054560,0.228036
x3_x6_x7,0.942894,0.957224,0.987084,0.172632,0.500000,0.315579,0.839196,0.908795,0.582428
x3_x6_x8,0.874108,0.980226,0.949694,0.149474,0.142857,0.284953,0.208543,0.206026,0.518263
x5_x3_x6,0.905256,0.958838,0.782801,0.160000,0.119048,0.300932,0.824121,0.893322,0.547878
x6_x7_x7,0.954575,0.996368,0.984024,0.170526,0.476190,0.334221,0.834171,0.920195,0.882527
x6_x7_x8,0.898118,0.724778,0.966689,0.176842,0.261905,0.197071,0.103015,0.229642,0.650543
x6_x8_x14,0.682674,0.100484,0.940177,0.136842,0.047619,0.125166,0.211055,0.131107,0.309970
x7_x7_x7,0.979883,0.996772,0.985044,0.728421,0.666667,0.383489,0.849246,0.906352,0.998026
x7_x7_x8,0.981830,0.990718,0.997281,0.713684,0.666667,0.383489,0.969849,0.894951,0.998026
x7_x8_x14,0.946139,0.982244,0.987084,0.757895,0.666667,0.379494,0.831658,0.827362,0.971372
x7_x8_x9,0.974692,0.989911,0.968389,0.423158,0.666667,0.378162,0.713568,0.253257,0.998026
x8_x14_x13,0.957171,0.958838,0.986744,0.709474,0.642857,0.378162,0.788945,0.508958,0.971372
x8_x14_x15,0.800779,0.972559,0.971108,0.591579,0.595238,0.193076,0.836683,0.535831,0.843040
x8_x5_x3,0.870214,0.700565,0.565602,0.090526,0.095238,0.299601,0.108040,0.862378,0.461994
x8_x9_x11,0.932511,0.993947,0.844324,0.157895,0.190476,0.282290,0.273869,0.184853,0.562685
x9_x11_x3,0.911097,0.986279,0.986064,0.168421,0.166667,0.278296,0.180905,0.172638,0.561698
