x_ngram,file_count
x9_x11_x3,569
x36_x37_x7,312
x2_x3_x4,132
x7_x7_x8,1011
x15_x14_x13,872
x20_x6_x7,320
x10_x10_x11,549
x14_x13_x8,893
x10_x11_x21,413
x12_x13_x7,978
x5_x3_x6,555
x3_x4_x9,328
x7_x16_x31,385
x4_x14_x13,568
x1_x2_x3,383
x30_x24_x25,213
x3_x4_x14,474
x12_x15_x5,394
x29_x10_x10,351
x7_x8_x14,984
x38_x39_x40,12
x4_x14_x23,15
x9_x11_x33,34
x15_x5_x3,429
x12_x13_x19,94
x12_x15_x9,713
x16_x17_x18,323
x6_x7_x7,894
x14_x15_x5,234
x7_x7_x7,1011
x27_x28_x4,16
x18_x7_x7,331
x26_x27_x28,25
x15_x5_x21,161
x7_x8_x9,1011
x10_x10_x12,899
x13_x7_x7,986
x10_x12_x13,930
x19_x20_x6,263
x8_x14_x13,984
x39_x40_x41,14
x10_x11_x3,570
x15_x14_x15,481
x10_x12_x15,791
x1_x29_x10,360
x8_x9_x10,996
x8_x9_x11,570
x21_x22_x6,457
x8_x14_x15,854
x8_x5_x21,132
x12_x13_x8,897
x32_x10_x10,361
x8_x9_x35,54
x3_x6_x7,590
x9_x12_x15,768
x7_x7_x16,461
x4_x9_x12,334
x16_x31_x32,356
x10_x11_x38,52
x7_x7_x30,249
x9_x26_x27,25
x9_x10_x10,922
x7_x8_x5,437
x11_x3_x6,588
x34_x18_x7,35
x4_x9_x10,395
x9_x10_x11,543
x9_x12_x13,965
x14_x15_x14,749
x8_x9_x26,82
x5_x21_x22,242
x7_x16_x17,337
x4_x5_x3,290
x11_x38_x39,18
x11_x33_x34,30
x11_x3_x4,509
x6_x7_x8,659
x11_x1_x29,383
x13_x8_x14,796
x8_x9_x12,969
x31_x32_x10,347
x33_x34_x18,39
x35_x36_x37,219
x15_x9_x12,660
x23_x24_x25,50
x25_x7_x7,263
x9_x35_x36,74
x11_x21_x22,430
x12_x15_x14,800
x13_x8_x9,908
x9_x10_x12,902
x24_x25_x7,215
x3_x6_x8,525
x14_x23_x24,54
x6_x8_x14,314
x6_x8_x9,551
x22_x6_x8,226
x22_x6_x7,475
x5_x3_x4,300
x28_x4_x9,14
x14_x13_x7,978
x13_x19_x20,138
x37_x7_x7,743
x8_x5_x3,468
x17_x18_x7,300
x15_x9_x10,740
x10_x11_x1,419
x29_x10_x11,199
x3_x4_x5,312
x13_x7_x8,952
x14_x15_x9,760
x6_x8_x5,114
x7_x30_x24,223
x10_x10_x10,905
x89_x85_x86,39
x83_x59_x60,325
x90_x91_x92,2
x82_x9_x55,244
x83_x56_x82,307
x7_x7_x84,505
x85_x57_x7,576
x87_x88_x43,51
x82_x83_x59,115
x10_x10_x55,605
x87_x60_x4,279
x56_x86_x87,148
x9_x55_x56,585
x7_x84_x87,335
x84_x87_x88,43
x84_x85_x82,367
x85_x82_x83,219
x43_x37_x7,225
x4_x14_x15,247
x83_x56_x86,217
x60_x4_x14,190
x56_x86_x85,295
x57_x7_x8,562
x56_x57_x8,418
x55_x56_x86,231
x9_x10_x55,641
x7_x8_x83,545
x82_x83_x56,297
x55_x56_x57,658
x86_x87_x60,274
x84_x90_x91,2
x86_x85_x86,174
x60_x6_x7,632
x10_x55_x56,663
x55_x56_x82,548
x85_x82_x9,340
x84_x87_x60,391
x12_x13_x84,241
x56_x82_x83,227
x7_x84_x85,498
x86_x85_x57,287
x87_x60_x6,391
x57_x8_x14,262
x85_x86_x85,265
x57_x7_x7,763
x59_x60_x6,552
