x_feature,count
x124,24410
x152,20341
x161,16277
x143,14239
x153,12204
x2,11008
x6,10940
x9,10476
x158,10276
x74,10237
x138,10188
x151,10171
x160,10170
x16,9430
x10,9225
x73,8845
x20,7792
x59,7787
x15,7469
x8,7386
x55,7162
x46,7041
x17,6964
x37,6423
x1,6333
x125,6216
x60,6209
x163,6171
x23,6103
x155,6102
x157,6102
x166,6102
x154,6102
x159,6102
x162,6102
x165,6102
x150,6102
x156,6102
x164,6102
x140,6102
x42,6023
x45,5364
x44,5284
x3,4978
x11,4684
x5,4546
x12,4373
x48,4348
x31,4182
x167,4086
x18,4083
x35,3708
x43,3537
x65,3529
x36,3278
x62,2999
x61,2554
x4,2345
x7,2206
x63,2183
x58,2108
x22,1628
x66,1387
x198,1327
x72,1327
x64,884
x97,856
x69,831
x186,735
x176,735
x199,695
x192,652
x51,641
x170,637
