x_feature,count
x7,5776
x10,4601
x8,4413
x14,4144
x15,3945
x9,3719
x13,3214
x6,3003
x18,2418
x12,2393
x4,2278
x16,1997
x5,1962
x11,1869
x1,1803
x30,1712
x3,1671
x29,1650
x19,1593
x2,1584
x59,1505
x121,1491
x20,1368
x21,1357
x55,1338
x60,1315
x95,1280
x105,1273
x137,1266
x25,1226
x170,1219
x167,1205
x22,1198
x136,1122
x199,1108
x17,973
x96,951
x154,930
x24,916
x101,914
x49,869
x176,866
x31,855
x47,848
x32,840
x140,791
x78,761
x174,752
x125,740
x253,720
x142,716
x104,708
x207,680
x33,677
x163,671
x26,653
x37,623
x58,612
x114,608
x64,596
x146,559
x83,551
x182,539
x66,518
x34,518
x87,513
x138,494
x56,488
x84,486
x76,482
x62,456
x36,454
x57,453
x230,436
x28,431
x183,425
x65,413
x45,409
x63,406
x113,399
x198,389
x203,387
x281,378
x301,338
x23,322
x169,307
x43,305
x46,290
x38,286
x192,285
x250,284
x42,272
x228,272
x131,272
x158,257
x208,218
x186,216
x302,214
x74,211
x68,210
x275,197
x69,189
x329,185
x81,183
x229,168
x411,167
x335,165
x35,162
x27,162
x171,158
x97,156
x106,155
x309,154
x82,151
x197,150
x227,136
x214,134
x270,134
x331,132
x216,128
x53,117
x241,116
x75,115
x213,113
x100,109
x85,107
x61,106
x315,104
x316,104
x361,104
x211,100
x254,99
x39,97
x52,93
x191,93
x123,92
x50,90
x89,88
x94,87
x168,85
x40,78
x334,77
x233,74
x124,72
x210,69
x407,68
x80,67
x143,66
x102,66
x141,62
x240,61
x274,59
x304,59
x332,59
x384,58
x79,54
x116,54
x333,53
x173,51
x54,51
x217,49
x441,49
x51,48
x175,48
x73,47
x300,45
x256,45
x265,44
x234,43
x206,42
x242,42
x440,42
x98,41
x239,40
x350,39
x330,39
x77,39
x117,37
x103,36
x153,35
x258,33
x70,33
x139,33
x558,32
x122,31
x337,27
x161,27
x323,27
x247,27
x118,26
x224,25
x172,24
x72,24
x194,24
x289,23
x41,22
x196,22
x264,21
x410,21
x336,21
x48,21
x134,21
x225,20
x235,20
x470,19
x215,18
x303,18
x67,18
x99,18
x460,18
x133,18
x88,18
x260,18
x251,18
x178,18
x431,18
x280,18
x563,18
x366,17
x244,17
x112,16
x317,16
x255,15
x219,15
x554,15
x257,15
x223,15
x144,15
x71,15
x193,15
x491,15
x310,15
x588,15
x338,15
x353,14
x373,13
x129,13
x375,12
x263,12
x181,12
x399,12
x328,12
x409,12
x358,12
x608,12
x433,10
x313,9
x145,9
x374,9
x398,9
x297,9
x518,9
x415,9
x266,9
x506,9
x416,9
x585,9
x567,9
x221,9
x354,9
x418,9
x277,9
x343,9
x273,9
x272,9
x364,9
x307,9
x372,8
x340,8
x513,8
x299,7
x132,6
x534,6
x347,6
x552,6
x252,6
x385,6
x351,6
x93,6
x115,6
x400,6
x473,6
x406,6
x539,6
x362,6
x321,6
x324,6
x528,6
x641,6
x147,6
x156,6
x177,6
x159,6
x261,6
x290,6
x130,6
x200,6
x209,6
x449,6
x148,6
x149,6
x598,6
x119,6
x434,6
x355,6
x381,5
x432,5
x437,4
x512,4
x152,3
x549,3
x538,3
x405,3
x517,3
x363,3
x92,3
x296,3
x483,3
x356,3
x469,3
x218,3
x457,3
x546,3
x248,3
x237,3
x305,3
x249,3
x383,3
x311,3
x231,3
x413,3
x226,3
x349,3
x462,3
x204,3
x348,3
x269,3
x543,3
x111,3
x245,3
x291,3
x279,3
x482,3
x285,3
x238,3
x524,3
x262,3
x320,3
x346,3
x44,3
x464,3
x429,3
x522,3
x295,3
x611,3
x267,3
x526,3
x396,3
x282,3
x533,3
x574,3
x475,3
x292,3
x397,3
x459,2
x386,2
x591,1
